GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cooperative-voting,com.example.cooperativevoting.votingsession.application,SessionNotOpenException,4,11,1,1,2,5,2,1,1,1
cooperative-voting,com.example.cooperativevoting.votingsession.application,SessionNotFoundException,4,0,0,0,2,0,1,0,1,0
cooperative-voting,com.example.cooperativevoting.votingsession.application,VotingSessionService,5,134,1,9,2,29,1,10,0,6
cooperative-voting,com.example.cooperativevoting.votingsession.application,SessionAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
cooperative-voting,com.example.cooperativevoting.eligibility.application,InvalidCpfException,0,4,0,0,0,2,0,1,0,1
cooperative-voting,com.example.cooperativevoting.eligibility.application,VoterEligibilityService,1,27,1,4,1,8,1,5,0,2
cooperative-voting,com.example.cooperativevoting.eligibility.application,VoterNotEligibleException,0,4,0,0,0,2,0,1,0,1
cooperative-voting,com.example.cooperativevoting.eligibility.application,EligibilityServiceUnavailableException,0,4,0,0,0,2,0,1,0,1
cooperative-voting,com.example.cooperativevoting.eligibility.application,EligibilityResult,0,27,0,0,0,5,0,1,0,1
cooperative-voting,com.example.cooperativevoting.vote.application,DuplicateVoteException,0,4,0,0,0,2,0,1,0,1
cooperative-voting,com.example.cooperativevoting.vote.application,VoteService,5,188,3,15,1,38,3,12,0,6
cooperative-voting,com.example.cooperativevoting.vote.application,VoteOutcome,0,27,0,0,0,5,0,1,0,1
cooperative-voting,com.example.cooperativevoting.vote.application,VotingResult,0,24,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.shared.error,ApiExceptionHandler,80,104,4,0,14,27,9,8,7,8
cooperative-voting,com.example.cooperativevoting.votingsession.domain,VotingSession,3,64,0,6,1,19,1,11,1,8
cooperative-voting,com.example.cooperativevoting.votingsession.domain,SessionStatus,0,21,0,0,0,4,0,1,0,1
cooperative-voting,com.example.cooperativevoting.mobileui.api,MobileController,0,22,0,0,0,6,0,4,0,4
cooperative-voting,com.example.cooperativevoting.mobileui.api,MobileApiModels.VoteOptionsRequest,0,9,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.mobileui.api,MobileApiModels.IdentifyRequest,6,0,0,0,1,0,1,0,1,0
cooperative-voting,com.example.cooperativevoting.shared.config,OpenApiConfig,0,27,0,0,0,9,0,2,0,2
cooperative-voting,com.example.cooperativevoting.shared.config,AppProperties,0,6,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.shared.config,ApplicationConfig,0,5,0,0,0,2,0,2,0,2
cooperative-voting,com.example.cooperativevoting.agenda.api,AgendaApiModels.CreateAgendaRequest,0,9,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.agenda.api,AgendaController,14,33,0,0,2,9,2,2,2,2
cooperative-voting,com.example.cooperativevoting.agenda.api,AgendaApiModels.AgendaResponse,0,27,0,0,0,3,0,2,0,2
cooperative-voting,com.example.cooperativevoting.mobileui.application,PublicUrlBuilder,10,33,2,2,0,6,2,4,0,4
cooperative-voting,com.example.cooperativevoting.mobileui.application,MobileScreenService,0,162,0,0,0,39,0,7,0,7
cooperative-voting,com.example.cooperativevoting.vote.api,VoteController,0,33,0,0,0,7,0,2,0,2
cooperative-voting,com.example.cooperativevoting.vote.api,ResultController,0,11,0,0,0,4,0,2,0,2
cooperative-voting,com.example.cooperativevoting.vote.api,VoteApiModels.RegisterVoteRequest,0,9,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.votingsession.api,VotingSessionApiModels.VotingSessionResponse,0,37,0,0,0,7,0,2,0,2
cooperative-voting,com.example.cooperativevoting.votingsession.api,VotingSessionController,0,54,1,3,0,12,1,4,0,3
cooperative-voting,com.example.cooperativevoting.votingsession.api,VotingSessionApiModels.OpenSessionRequest,0,6,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.shared.observability,CorrelationIdFilter,6,28,3,1,1,9,2,3,0,3
cooperative-voting,com.example.cooperativevoting.eligibility.infrastructure,EligibilityProperties,0,15,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.eligibility.infrastructure,HttpVoterEligibilityGateway.EligibilityResponse,0,6,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.eligibility.infrastructure,DisabledVoterEligibilityGateway,0,5,0,0,0,2,0,2,0,2
cooperative-voting,com.example.cooperativevoting.eligibility.infrastructure,HttpVoterEligibilityGateway,27,125,8,14,6,32,7,10,0,6
cooperative-voting,com.example.cooperativevoting.agenda.domain,Agenda,0,30,0,0,0,11,0,6,0,6
cooperative-voting,com.example.cooperativevoting.vote.domain,VoteChoice,0,15,0,0,0,3,0,1,0,1
cooperative-voting,com.example.cooperativevoting.vote.domain,Vote,12,21,0,0,4,8,4,2,4,2
cooperative-voting,com.example.cooperativevoting.agenda.application,AgendaNotFoundException,11,0,0,0,2,0,1,0,1,0
cooperative-voting,com.example.cooperativevoting.agenda.application,AgendaService,5,62,1,3,0,13,2,7,1,6
cooperative-voting,com.example.cooperativevoting.mobileui.model,MobileScreenModels.SelectionItem,0,12,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.mobileui.model,MobileScreenModels.FormItem,0,36,0,0,0,3,0,3,0,3
cooperative-voting,com.example.cooperativevoting.mobileui.model,MobileScreenModels.FormScreen,0,26,0,0,0,3,0,2,0,2
cooperative-voting,com.example.cooperativevoting.mobileui.model,MobileScreenModels.Action,0,12,0,0,0,1,0,1,0,1
cooperative-voting,com.example.cooperativevoting.mobileui.model,MobileScreenModels.SelectionScreen,0,18,0,0,0,3,0,2,0,2
cooperative-voting,com.example.cooperativevoting,CooperativeVotingApplication,5,3,0,0,2,1,1,1,1,1
